id,name,body,fixture_call_site,body_hits,observed,model,os_version,rom_sha256,emulator_sha256,machine_sha256,payload_sha256,wrapper_sha256,macro_sha256,trace_sha256,snapshot_sha256,instructions,evidence_limit
0x4030,_newContext,ram:077E,ram:9DA6,1,kbdKey=0;port6=0x07->0x07,ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x41D4,_ShRAcc,ram:1BCB,ram:9DBB,17,A=0xAB->0x0A;F=0x1C,ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x4744,_GetK,37:746D,ram:9DE1,1,kbdGetKy=0x01 consumed;table[1]=0x22;OP2=real 34,ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x4A02,_ConvKeyToTok,07:44DE,ram:9DC5,6,A=0x05->DE=0x003F,ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x4F3C,_FlashWriteDisable,3C:66D5,ram:9E8D,1,returned;OUT port 0x14 value 0x00 observed,ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x4F69,_ClrCursorHook,3B:7AEA,ram:9E7E,1,IY+0x34=0x80->0x00,ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x4F99,_SetTokenHook,3B:7D0B,ram:9E24,1,"target=ram:9872,page=0;IY+0x35 bit0 set",ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
0x50CE,_SetSilentLinkHook,3B:7DBB,ram:9E4F,1,"target=ram:9875,page=0;IY+0x36 bit7 set",ti84p,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,b8ee505483c79732a4ca21efb8b904de0792477795f6fc717874dcd5addaed09,25cc5b9eb86be54c55ed99263e9b02a47121a3350b9e31332b458229fb326c95,b76b0537843fe7586b4ce391183c90c53c8f6fccbdc56b69382a81c2aaeb7f9d,d790baf7c6ec4f58c00ad01d6f9b08c9ef9eb33e332e733facc35f2240b55640,656d68381d325997eaec4e1be9ecd20901b5f620420417c6497822660bfa4170,8360457731f95c2be9d7eb3104fdc3ac9fcd9d27e79d78397d7962fb7696576c,181269d54c8ee1821840428a123f25e6daa01cd03380fcb907796d6a9f4e63cc,3547315,source-built safe caller; TilEm; state restored before halt; no physical hardware
